corrupt;yozlaşmış
debatable;tartışılabilir
debate;tartışma
debauch;debauch
debauched;ahlaksız
debauchee;uçarı
debauchery;sefahat
debenture;borç senedi
debilitate;zayıflatmak
debilitation;zayıflatma
debility;halsizlik
debit account;borç hesabı
debit advice;bankamatik danışma
debit and credit;Banka ve kredi
debit balance;borç bakiyesi
debit card;banka kartı
debit entry;borç kaydı
debit interest;bankamatik faiz
debit;borç
debiting;borçlandırma
deblock;serbest bırakmak
deblocking;deblokaj
debonair;nazik
debrief;bilgi almak
debris;enkaz
debt balance;borç bakiyesi
debt burden;borç yükü
debt conciliation;borç uzlaştırma
debt limit;borç limiti
debt obligation;borç yükümlülüğü
debt of honour;namus borcu
debt receivable;borç alacak
debt;borç
debtless;borcunun bulunmaması
debtor bank;borçlu banka
debtor nation;borçlu ulus
debtor;borçlu
debug;ayıklama
debugger;ayıklayıcı
debugging;ayıklama
debunching;debunching
debunk;putları kırmak
debus;yük boşaltmak
debut;ilk
debutante;ilk oyununu oynayan aktris
deca-;on kez
decade;onyıl
decadence;çöküş
decadent;çökmekte olan
decaffeinate;kafeinsizleştirmek
decaffeinated coffee;kafeinsiz kahve
decagon;dekagon
decagonal;decagonal
decahedral;decahedral
decahedron;decahedron
decal;çıkartma
decalcify;kirecini çıkarmak
decalitre;dekalitre
decalogue;on emir
decameter;dekametre
decamp;sıvışmak
decant;dikkatle boşaltmak
decantation;durultma
decanter;sürahi
decapitate;başını kesmek
decapod;on bacaklı
decarbonize;karbonu çıkarmak
decarboxylase;dekarboksilaz
decarburization;dekarbürizasyonuna
decarburize;dekarbürize
decastyle;decastyle
decasyllable;decasyllable
decathlete;dekatloncu
decathlon;dekatlon
decatize;kolasını gidermek
decatizing;dekatırleme
decay;çürüme
decayed;çürümüş
decease;ölüm
deceased;merhum
deceased's estate;Merhumun emlak
deceit;aldatma
deceitful;hilekâr
deceitfulness;dolandırıcılık
deceivable;kolay aldatılan
deceive;aldatmak
deceiver;düzenbaz
decelerate;yavaşlatmak
deceleration;yavaşlama
decelerator;yavaşlatıcı
December;Aralık
decency;terbiye
decennial;onuncu yıldönümü
decennium;on yıllık süre
decent;terbiyeli
decently;adam gibi
decentralization;ademi
decentralize;bağımsız yönetime geçmek
deception;aldatma
deceptive;aldatıcı
deceptiveness;deceptiveness
decertify;decertify
dechlorinate;dechlorinate
dechlorination;klorsuzlaştırma
deci-;onda biri
decibel;desibel
decide against a thing;bir olayın gerçekleşme karar
decide for a thing;Bir şey için karar
decide;karar ver
decided;karar
decidedly;kesinlikle
decider;Final
deciduous leaf;yaprak döken yaprak
deciduous tooth;yaprak döken diş
deciduous tree;Yaprak döken ağaç
deciduous;yaprak döken
decigramme;desigram
decile;decile
decilitre;desilitre
decimal digit;ondalık sayı
decimal fraction;ondalık kesir
decimal number system;ondalık sayı sistemi
decimal number;ondalık sayı
decimal place;ondalık basamak
decimal point;ondalık nokta
decimal system;ondalık sistem
decimal;ondalık
decimalize;ondalık sisteme çevirmek
decimate;kırıp geçirmek
decimation;kırım
decimetre wave;desimetre dalga
decimetre;desimetre
decipher;çözmek
decipherable;anlaşılır
decipherment;şifre çözümü
decision;karar
decisive;belirleyici
decisively;kararlı
decisiveness;belirleyicilik
deck beam;güverte kiriş
deck chair;güverte sandalye
deck hand;güverte tayfası
deck house;güverte evi
deck light;güverte ışığı
deck load;güverte yükü
deck log;güverte günlüğü
deck out;donatmak
deck passenger;güverte yolcu
deck;güverte
deckchair;şezlong
deckle edge;el kalıbı kenar
declaim;bağırıp çağırmak
declamation;hitabet
declamatory;coşkulu
declarable;gümrük vergisine tabi
declarant;beyan eden kimse
declaration day;deklarasyon gün
declaration for exportation;ihracat için deklarasyon
declaration of bankruptcy;iflas ilanı
declaration of independence;bağımsızlık Bildirgesi
declaration of intent;niyet beyanı
declaration of property;mal bildirimi
declaration of residence;ikamet beyanı
declaration of value;değerinin bildirimi
declaration of war;savaş ilanı
declaration of wealth;zenginlik beyanı
declaration;deklarasyon
declarative sentence;bildirim cümle
declarative;bildiren
declaratory;ifade eden
declare a ceasefire;Bir ateşkes ilan
declare a truce;Ateşkes ilan
declare bankruptcy;iflas ilan
declare martial law;sıkıyönetim ilan
declare null and void;Boş beyan ve geçersiz
declare war;savaş ilan etmek
declare;bildirmek
declared;beyan
declassify;gizliliğini kaldırmak
declension;gerileme
declinable;çekimli
declination compass;meyl pusula
declination;sapma
decline in income;gelirdeki düşüş
decline in prices;fiyatlarındaki düşüş
decline;düşüş
declining years;azalan yıl
declinometer;declinometer
declivitous;dik yokuşlu
declivity;meyil
declutch;debriyaja basmak
decoct;kaynatarak özünü çıkarmak
decode;kod çözme
decoder;şifre çözücü
decoil;decoil
decollate;decollate
decollator;decollator
decolletage;dekolte
decollete;dekolte
decolorant;ağartan
decoloration;decoloration
decolorization;renksizleşme
decolorize;ağartmak
decolorizer;decolorizer
decompose;ayrıştırmak
decomposed;çürümüş
decomposition;ayrışma
decompress;basıncı azaltmak
decompression;dekompresyon
decontaminate;arındırmak
decontamination;arındırma
decontrol;denetimin kaldırılması
decor;dekor
decorate;süslemek
decoration;dekorasyon
decorative;dekoratif
decorator;dekoratör
decorous;zevkli
decorticate;kabuğunu soymak
decorum;edep
decoupling;ayrışma
decoy;tuzak
decrease in population;nüfustaki azalma
decrease in prices;fiyatlarındaki düşüş
decrease;azaltmak
decreasing cost;azalan maliyet
decreasing costs;azalan maliyetler
decreasing returns;azalan döner
decreasingly;gittikçe azalarak
decree in the power of law;yasanın gücüne kararname
decree;kararname
decrement;azalma
decrepit;eskimiş
decrescendo;diminuendo
decrescent;küçülen
decrial;kötüleme
decry;kınamak
decryption;şifre çözme
decumbent;eğilmiş
decuple;on ile çarpmak
decussate;çaprazlama
dedicate;adamak
dedicated;adanmış
dedication;ithaf
deduce;sonuç çıkarmak
deducible;anlaşılabilir
deduct;düşmek
deductible;düşülebilir
deduction;kesinti
deductive;tümdengelimli
dedust;tozlarının giderilmesi
deduster;deduster
deed of partnership;ortaklık senedi
deed of real estate;gayrimenkul tapusu
deed of transfer;transferin senet
deed of trust;güven senet
deed;tapu
deejay;diskcokey
deem;saymak
deemotionalize;deemotionalize
deep sea;derin deniz
deep structure;derin yapı
deep tone;derin sesi
deep well;Derin Kuyu
deep;derin
deep-dyed;derin boyanmış
deep-freeze;derin dondurucu
deep-freezer;derin dondurucu
deep-frozen;dondurulmuş
deep-rooted;kökleşmiş
deep-sea navigation;derin deniz navigasyon
deep-sea steamer;derin deniz vapur
deep-sea voyage;derin deniz yolculuğu
deep-sea;derin deniz
deep-seated;Köklü
deep-set;derinde olan
deepen;derinleştirmek
deeply;derinden
deepness;enginlik
deeprooted;deeprooted
deer forest;geyiklerin yaşadığı orman
deer;geyik
deerhound;deerhound
deerskin;geyik derisi
deerstalker;geyik avcısı
deerstalking;geyik avcılığı
deescalate;deescalate
deface;bozmak
defacement;silinti
defacto;defacto
defalcate;zimmete geçirmek
defalcation;zimmete geçirilen miktar
defamation;karalama
defamatory;lekeleyen
defame;kötülemek
defamer;iftiracı
defatted;yağdan arındırılmış
default drive;varsayılan sürücü
default interest;varsayılan faiz
default option;varsayılan seçenek
default value;varsayılan değer
default;varsayılan
defaulter;gaip
defeasance;fesih
defeat;yenilgi
defeatism;bozgunculuk
defecate;arınmak
defecation;dışkılama
defect;kusur
defection;iltica
defective;arızalı
defector;ilticacı
defence budget;savunma bütçesi
defence counsel;savunma avukatı
defence expenditures;savunma harcamaları
defence industry;savunma sanayi
defence policy;savunma politikası
defence spending;savunma harcamaları
defence;savunma
defenceless;savunmasız
defend;savunmak
defendable;savunulabilir
defendant;sanık
defender;savunma oyuncusu
defenestration;pencereden fırlatılma
defense;savunma
defenseless;savunmasız
defensible;savunulabilir
defensive alliance;savunma ittifakı
defensive mechanism;savunma mekanizması
defensive;savunma
defer;ertelemek
deference;saygı
deferent duct;saygılı kanalı
deferent;hürmetkâr
deferential;saygılı
deferment;tecil
deferred liability;ertelenmiş yükümlülük
deferred payment sale;vadeli ödeme satışı
deferred terms;taksitle ödeme sistemi
deferred;vadeli
defiance;nispet
defiant;meydan okuyan
deficiency disease;zafiyet
deficiency letter;eksikliği mektup
deficiency;eksiklik
deficient amount;gerekli miktar
deficient;Yetersiz
deficit of the balance of payments;ödemeler dengesinin açığı
deficit;açık
defier;meydan okuyan
defile;kirletmek
defilement;kirletme
definable;tanımlanabilir
define;tanımlamak
defining clauses;maddeleri tanımlayan
defining relative clause;ilgi cümleciği tanımlayan
defining;tanımlarken
definite article;kesin makale
definite letter of warranty;kati teminat mektubu
definite;kesin
definitely;kesinlikle
definiteness;kesinlik
definition;tanım
definitive judgment;kesin yargı
definitive;kesin
definitively;kesin
deflagrate;tutuşuvermek
deflagration;parlama
deflate;söndürmek
deflation;deflasyon
deflationary;deflasyonal
deflect;saptırmak
deflection;sapma
deflector coil;sapma bobini
deflector;deflektör
deflorate;bekâretini bozmak
defloration;kızlığını bozma
deflower;koparmak
defoam;köpüğünü
defoaming agent;köpük giderici madde,
defoliant;yaprakları döken ilaç
defoliate;yaprakları dökmek
defoliation;yaprak dökümü
deforce;alıkoymak
deforest;ormansızlaştırmak
deforestation;orman açma
deform;çirkinleştirmek
deformability;deformabilite
deformation;deformasyon
deformed;deforme olmuş
deformity;bozukluk
defraud;dolandırmak
defraudation;dolandırma
defrauder;vergi kaçakçısı
defray;ödemek
defrayment;tediye
defrock;papazlıktan çıkarmak
defrost;defrost
defroster;buz çözücü
defrosting rear window;arka cam buz çözme
deft;usta
deftness;maharet
defunct;geçersiz
defuse;yatıştırmak
defy;karşı gelmek
degas;gazını almak
degasifier;gazsızlaştırıcı
degauss;gemiyi manyetik mayınlara karşı donatmak
degausser;degausser
degeneracy;yozlaşma
degenerate;dejenere
degeneration;dejenerasyon
degenerative;dejeneratif
deglutition;yutma
degradation;bozulma
degrade;indirgemek
degradin;degradin
degrading;küçültücü
degree of comparison;karşılaştırmalı üstünlük derecesi
degree of freedom;özgürlük derecesi
degree of latitude;enlem derecesi
degree of longitude;boylam derecesi
degree;derece
degression;vergi indirimi
degressive tax;azalan vergi
degressive;azalan oranlı
degum;DEGUM
dehisce;yarılmak
dehumanize;kişiliksizleştirmek
dehumidification;nem alma
dehumidifier;nem
dehumidify;dehumidify
dehydrate;kurutmak
dehydrated foods;susuz gıdalar
dehydration;kurutma
dehydrogenase;dehidrojenaz
dehydrogenation;Hidrojen giderme
deice;deice
deictic;deictic
deification;yüceltme
deify;tanrılaştırmak
deign;lütfetmek
deionization;deiyonizasyon
deionize;Deiyonize
deism;deizm
deity;Tanrı
deja vu;aynı anı daha önce de yaşadığını hissetme
deject;kederlendirmek
dejecta;dejecta
dejected;keyifsiz
dejection;keyifsizlik
dejure;dejure
dekaliter;dekaliter
dekko;bakış
delabialisation;delabialisation
delactation;memeden kesme
delate;itham etmek
delative;delative
delator;gammazcı
delay of payment;Ödeme gecikmesi
delay payment;gecikme ödeme
delay;gecikme
delayed;gecikmiş
delaying;geciktirme
dele;boz
deleave;deleave
delectable;nefis
delectation;hoşlanma
delegacy;delegelik
delegate;temsilci
delegation;delegasyon
delete;silmek
deleterious;zararlı
deletion;silme
deletrious;deletrious
delft;Hollanda porseleni
deliberate;kasten, kasıtlı, planlı
deliberately;kasten
deliberateness;tedbirlilik
deliberation;Danışma
deliberative;ihtiyatlı
delicacy;incelik
delicate;narin
delicatessen;Şarküteri
delicious;lezzetli
delict;suç
delight;zevk
delightful;hoş
delightfully;nefis
delime;delime
delimit;sınırlandırmak
delimitation;sınırlandırma
delimiter;sınırlayıcı
delineate;betimlemek
delineation;tarif
delinquency;suçluluk
delinquent account;suçlu hesap
delinquent;suçlu
deliquesce;sıvılaşmak
deliquescence;havanın neminden
delirious;çılgın
delirium;sayıklama
deliver a speech;söylev vermek
deliver from;dan teslim
deliver oneself of;arasında kendini teslim
deliver;teslim etmek
deliverable;dağıtılabilir
deliverance;kurtuluş
delivered price;teslim fiyat
delivered;teslim
deliverer;dağıtım yapan kişi
delivery car;teslimat araba
delivery date;teslim tarihi
delivery note;alındı ​​fişi
delivery order;teslimat sipariş
delivery point;teslim noktası
delivery price;Teslimat fiyatı
delivery receipt;teslimat Makbuzu
delivery;teslim
dell;vadi
delouse;bitlerini ayıklamak
delphic;İki anlamlı
delphinin;delphinin
delphinium;hezaren çiçeği
delta ray;delta ışını
delta;delta
delta-wing;delta kanat
deltoid muscle;Deltoid Kası
deltoid;delta şeklinde
delude;aldatmak
deluge;tufan
delusion;kuruntu
deluster;deluster
deluxe;delüks
delve into;eski defterleri
delve;altüst ederek aramak
demagnetization;demagnetization
demagnetize;manyetikliğini yok etmek
demagnetizer;demagnetizer
demagogic;demagojik
demagogue;demagog
demagogy;demagoji
demand deposit;vadesiz mevduat
demand for labour;işgücü talebi
demand for money;para talebi
demand for payment;ödeme talebi
demand loan;talep kredisi
demand surplus;talep fazlası
demand;talep
demand-pull inflation;talep enflasyonu
demanding;zahmetli
demarcate;ayırmak
demarcation;sınır çekme
demarcative;demarcative
demarche;diplomatik girişim
demean oneself;kendini küçük düşürmek
demean;alçaltmak
demeanour;tavır
demented;çılgın
dementia praecox;demans praecox
dementia;bunaklık
demerit;uyarı
demesne;malikâne
demi;demi
demigod;yarı tanrı
demijohn;damacana
demilitarize;askerden arındırmak
demilitarized zone;askerden arındırılmış bölge
demimonde;şüpheli kadınlar sınıfı
demineralize;demineralize
demise;ölüm
demission;tahttan çekilme
demitasse;demitasse
demo;gösteri
demobilization;terhis
demobilize;terhis etmek
democracy;demokrasi
democrat;demokrat
Democratic Left Party;Demokratik Sol Parti
Democratic Mass Organisations;Demokratik Kitle Örgütleri
democratic;demokratik
democratisation package;demokratikleşme paketi
democratization process;demokratikleşme süreci
democratization;demokratikleşme
democratize;demokratikleştirmek
demode;demode
demodifier;demodifier
demodulation;demodülasyon
demodulator;demodülatör
demographer;nüfus istatistikleri araştırmacısı
demographic;demografik
demography;demografi
demoiselle;telli turna
demolish;yıkmak
demolition bomb;tahrip gücü yüksek bomba
demolition;yıkım
demon;iblis
demonetization;tedavülden kaldırma
demonetize;tedavülden kaldırmak
demoniac;cinli
demonize;şeytanlaştırmak
demonstrable;kanıtlanabilir
demonstrate;göstermek
demonstration;gösteri
demonstrative adjective;demonstrasyon sıfat
demonstrative adverb;demonstrasyon zarf
demonstrative pronoun;demonstrasyon zamir
demonstrative;inandırıcı
demonstrator;gösterici
demoralization;cesaretini kırma
demoralize;moralini bozmak
demoralizing;cesaret kırıcı
demos;demolar
demote;rütbesini indirmek
demotic;halk ile ilgili
demotion;rütbe indirme
demotivate;saptırmak
demount;parçalara ayırmak
demountability;fuayeler
demountable;sökülüp takılabilir
demulcent;teskin edici
demur;itiraz
demure;ağırbaşlı
demureness;çekingenlik
demurrage;bekleme süresi
demurrer;itirazcı
den;den
denary;denary
denationalize;vatandaşlıktan çıkarmak
denaturalize;doğallığını bozmak
denaturant;denaturant
denaturation;denatürasyon
denature;doğasını değiştirmek
denatured alcohol;denatüre alkol
dendrite;dendrit
dendritic;dendritik
dendrochronology;dendrokronoloji
dendrolite;dendrolite
dendrology;ağaçbilim
dene;kumlu sahil yolu
denegation;inkâr
deniable;yadsınabilir
denial;ret
denier;deniye
denigrate;kötülemek
denim;kot
denims;kot pantolon
denitrate;denitratlanır
denitrification;denitrifikasyon
denitrify;azot gidermek
denitrifying bacteria;denitrifikasyon bakteriler
denizen;müdavim
Denmark;Danimarka
denominate;isim koymak
denomination;mezhep
denominational value;mezhepsel değer
denominational;mezhebe bağlı
denominator;payda
denotation;anlam
denote;belirtmek
denouement;akıbet
denounce;kınamak
denouncement;ihbar
dense crowd;yoğun kalabalık
dense diplomatic traffic;yoğun diplomatik trafik
dense fog;yoğun sis
dense;yoğun
densimeter;Densimetre
densitometer;densitometre
density;yoğunluk
dent;göçük
dental care;diş bakımı
dental floss;diş ipi
dental nerve;diş siniri
dental plaque;diş plağı
dental plate;takma diş
dental surgeon;diş cerrahı
dental surgery;diş ameliyatı
dental;diş
dentate;tarak şeklinde
dentation;diş gibi çıkıntı
dentex;dentex
denticle;diş gibi çıkıntı
denticular;denticular
denticulated;çentikli
dentiform;diş gibi
dentifrice;diş macunu
dentilabial;dentilabial
dentine;dentin
dentist;diş doktoru
dentistry;diş hekimliği
dentition;diş yapısı
denture;takma diş
denudation;soyulma
denude;soymak
denumerable;denumerable
denunciation;ihbar
denunciative;denunciative
denunciator;ihbarcı
denunciatory;gammazlayıcı
deny oneself;kendini inkar
deny;reddetmek
deodar;Himalaya sediri
deodorant;deodorant
deodorize;kokusunu gidermek
